,supplier_ids,id,product_code,product_name,description,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments
21,8,65,NWTS-65,Northwind Traders Hot Pepper Sauce,,15.7875,21.05,10,40,32 - 8 oz bottles,0,10.0,Sauces,b''
22,8,66,NWTS-66,Northwind Traders Tomato Sauce,,12.75,17.0,20,80,24 - 8 oz jars,0,20.0,Sauces,b''
23,5,72,NWTD-72,Northwind Traders Mozzarella,,26.1,34.8,10,40,24 - 200 g pkgs.,0,10.0,Dairy products,b''
24,2;6,74,NWTDFN-74,Northwind Traders Almonds,,7.5,10.0,5,20,5 kg pkg.,0,5.0,Dried Fruit & Nuts,b''
25,10,77,NWTCO-77,Northwind Traders Mustard,,9.75,13.0,15,60,12 boxes,0,15.0,Condiments,b''
26,2,80,NWTDFN-80,Northwind Traders Dried Plums,,3.0,3.5,50,75,1 lb bag,0,25.0,Dried Fruit & Nuts,b''
27,3,81,NWTB-81,Northwind Traders Green Tea,,2.0,2.99,100,125,20 bags per box,0,25.0,Beverages,b''
28,1,82,NWTC-82,Northwind Traders Granola,,2.0,4.0,20,100,,0,,Cereal,b''
29,9,83,NWTCS-83,Northwind Traders Potato Chips,,0.5,1.8,30,200,,0,,"Chips, Snacks",b''
30,1,85,NWTBGM-85,Northwind Traders Brownie Mix,,9.0,12.49,10,20,3 boxes,0,5.0,Baked Goods & Mixes,b''
31,1,86,NWTBGM-86,Northwind Traders Cake Mix,,10.5,15.99,10,20,4 boxes,0,5.0,Baked Goods & Mixes,b''
32,7,87,NWTB-87,Northwind Traders Tea,,2.0,4.0,20,50,100 count per box,0,,Beverages,b''
33,6,88,NWTCFV-88,Northwind Traders Pears,,1.0,1.3,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,b''
34,6,89,NWTCFV-89,Northwind Traders Peaches,,1.0,1.5,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,b''
35,6,90,NWTCFV-90,Northwind Traders Pineapple,,1.0,1.8,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,b''
36,6,91,NWTCFV-91,Northwind Traders Cherry Pie Filling,,1.0,2.0,10,40,15.25 OZ,0,,Canned Fruit & Vegetables,b''
37,6,92,NWTCFV-92,Northwind Traders Green Beans,,1.0,1.2,10,40,14.5 OZ,0,,Canned Fruit & Vegetables,b''
38,6,93,NWTCFV-93,Northwind Traders Corn,,1.0,1.2,10,40,14.5 OZ,0,,Canned Fruit & Vegetables,b''
39,6,94,NWTCFV-94,Northwind Traders Peas,,1.0,1.5,10,40,14.5 OZ,0,,Canned Fruit & Vegetables,b''
40,7,95,NWTCM-95,Northwind Traders Tuna Fish,,0.5,2.0,30,50,5 oz,0,,Canned Meat,b''
41,7,96,NWTCM-96,Northwind Traders Smoked Salmon,,2.0,4.0,30,50,5 oz,0,,Canned Meat,b''
42,1,97,NWTC-82,Northwind Traders Hot Cereal,,3.0,5.0,50,200,,0,,Cereal,b''
43,6,98,NWTSO-98,Northwind Traders Vegetable Soup,,1.0,1.89,100,200,,0,,Soups,b''
44,6,99,NWTSO-99,Northwind Traders Chicken Soup,,1.0,1.95,100,200,,0,,Soups,b''
